📺央视频道,#genre#
广西卫视,http://192.168.6.1:1207/rtp/239.255.40.22:8208
广西卫视,https://feiyang.wangdu.site/decrypt.php?url=eWlRZjY1Zlhwb3g3Q092dWJaQ2FpaHFvSm9VWXR5YURaNDZVL0RVUFNPRGI1NnhrSTNaaE9oNEJZNU01LzZKZVZEUXhaZi9Dazg1eGVIWjBnandRaEFtVVNuTDdaTTRGcGY4WUlrZTd3Wjg9
贵州卫视,http://192.168.6.1:1207/rtp/239.255.40.200:8208
贵州卫视,https://feiyang.wangdu.site/decrypt.php?url=eWlRZjY1Zlhwb3g3Q092dWJaQ2FpaHFvSm9VWXR5YURaNDZVL0RVUFNPRGI1NnhrSTNaaE9oNEJZNU01LzZKZXl5d3duaFd4VXNORHVWeG4wTXFVbk90cVFnbGFNc3lOUmp6SSs5UjVHVDg9
海南卫视,http://192.168.6.1:1207/rtp/239.255.40.23:8208
河北卫视,http://192.168.6.1:1207/rtp/239.255.40.20:8208
河南卫视,http://192.168.6.1:1207/rtp/239.255.40.9:8208
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://nctv.top/IDOEPpiryt/hntv.php?id=hnws
河南卫视,http://satellitepull.cnr.cn/live/wxhnws/playlist.m3u8
吉林卫视,http://192.168.6.1:1207/rtp/239.255.40.17:8208
吉林卫视,http://satellitepull.cnr.cn/live/wxjlws/playlist.m3u8
江苏卫视,http://192.168.6.1:1207/rtp/239.255.40.42:8208
江西卫视,http://192.168.6.1:1207/rtp/239.255.40.18:8208
辽宁卫视,http://192.168.6.1:1207/rtp/239.255.40.54:8208
内蒙古卫视,http://192.168.6.1:1207/rtp/239.255.40.14:8208
宁夏卫视,http://192.168.6.1:1207/rtp/239.255.40.8:8208
青海卫视,http://192.168.6.1:1207/rtp/239.255.40.15:8208
山东卫视,http://192.168.6.1:1207/rtp/239.255.40.51:8208
山西卫视,http://192.168.6.1:1207/rtp/239.255.40.13:8208
陕西卫视,http://192.168.6.1:1207/rtp/239.255.40.10:8208
四川卫视,http://192.168.6.1:1207/rtp/239.255.40.19:8208
四川卫视,http://119.32.12.17:2901/udp/224.1.100.72:11111
深圳卫视,http://192.168.6.1:1207/rtp/239.255.40.199:8208
深圳卫视,http://yncbn.ks-cdn.gitv.tv/gitv_live/G_SHENZHEN-HQ/G_SHENZHEN-HQ.m3u8
深圳卫视,https://feiyang.wangdu.site/decrypt.php?url=eWlRZjY1Zlhwb3g3Q092dWJaQ2FpaHFvSm9VWXR5YURaNDZVL0RVUFNPRGI1NnhrSTNaaE9oNEJZNU01LzZKZXl5d3duaFd4VXNORHVWeG4wTXFVbkpwZTdRckhVdHNVVjI1MVRjMGZZSDg9
深圳卫视,http://satellitepull.cnr.cn/live/wxszws/playlist.m3u8
深圳卫视,http://119.32.12.17:2901/udp/224.1.100.40:11111
三沙卫视,http://192.168.6.1:1207/rtp/239.255.40.82:8208
天津卫视,http://192.168.6.1:1207/rtp/239.255.40.48:8208
西藏卫视,http://192.168.6.1:1207/rtp/239.255.40.12:8208
西藏卫视,http://www.lysvc.cc/daili/xztv.php?id=1
西藏卫视,https://feiyang.wangdu.site/decrypt.php?url=eWxyNlNiS1JJdUx6eS9QSzNvNXczTVFuTCtLYTY5UGtmK0h1dG1oVi9CVmlwWmVMQlZIZ1BaWVJEMU1uMTFBWA%3D%3D
新疆卫视,http://192.168.6.1:1207/rtp/239.255.40.11:8208
新疆卫视,https://feiyang.wangdu.site/decrypt.php?url=eWlRZjY1Zlhwb3g3Q092dWJaQ2FpaHFvSm9VWXR5YURaNDZVL0RVUFNPRGI1NnhrSTNaaE9oNEJZNU01LzZKZWt6eGNRS0dEZEZrWjNDVU1QWjJmL3RIUFBZWmdyRzJ6QkZFbXBHaEtGNFU9
云南卫视,http://192.168.6.1:1207/rtp/239.255.40.6:8208
云南卫视,https://hwapi.yntv.net/ew265l/z1z6s5.m3u8
云南卫视,https://feiyang.wangdu.site/decrypt.php?url=eWlRZjY1Zlhwb3g3Q092dWJaQ2FpaHFvSm9VWXR5YURaNDZVL0RVUFNPRGI1NnhrSTNaaE9oNEJZNU01LzZKZTB5Vy9Ya3FQQUR5SEpPYVhzNUF6TGRDWlJNN3RCVWZPOXJPblhldUxFVDA9
兵团卫视,http://192.168.6.1:1207/rtp/239.255.40.29:8208
兵团卫视,http://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
兵团卫视,https://feiyang.wangdu.site/decrypt.php?url=K1dFc3VOYVYra0hXZkdQZS9KbVoxNGZJVnZJaFQwd0ZWcGJjbkxTVEhuL08rSyt1R0xmdDhlUFZHMmQ5czA5Tg%3D%3D
安多卫视,https://livecdn.dmqhyadmin.com/hls/xjmenyuan.m3u8
延边卫视,http://satellitepull.cnr.cn/live/wxybws/playlist.m3u8

🎥动画频道,#genre#
CCTV14,http://192.168.6.1:1207/rtp/239.255.40.41:8208
福建少儿,http://192.168.6.1:1207/rtp/239.255.40.156:8208
卡酷少儿,http://192.168.6.1:1207/rtp/239.255.40.24:8208
金鹰卡通,http://192.168.6.1:1207/rtp/239.255.40.25:8208
嘉佳卡通,http://192.168.6.1:1207/rtp/239.255.40.26:8208
IPTV少儿动画,http://192.168.6.1:1207/rtp/239.255.40.66:8208
IPTV野外,http://192.168.6.1:1207/rtp/239.255.40.60:8208
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8

🎬电影剧集,#genre#
CCTV6,http://192.168.6.1:1207/rtp/239.255.40.175:8208
CCTV6,https://feiyang.wangdu.site/decrypt.php?url=eWlRZjY1Zlhwb3g3Q092dWJaQ2FpaHFvSm9VWXR5YURaNDZVL0RVUFNPRGI1NnhrSTNaaE9oNEJZNU01LzZKZVhwUU1EUzdUamlTU0lRR2hBQnBWRERyMCtaSmNQa1h4REg0ZCtwTUZkbDg9
CCTV8,http://192.168.6.1:1207/rtp/239.255.40.197:8208
福建电视剧,http://192.168.6.1:1207/rtp/239.255.40.152:8208
IPTV6+,http://192.168.6.1:1207/rtp/239.255.40.64:8208
IPTV8+,http://192.168.6.1:1207/rtp/239.255.40.65:8208
IPTV谍战剧场,http://192.168.6.1:1207/rtp/239.255.40.58:8208
重温经典,https://feiyang.wangdu.site/decrypt.php?url=UUpJQmovS0UxVE9nMXhwRFlUV0lZdW00NUpsZUZzNTdRalhYS2xiYkJ2Y3RjcnBQQzl6eDdnWTVwbGdIYWFjMA%3D%3D
重温经典,https://feiyang.wangdu.site/decrypt.php?url=eWxyNlNiS1JJdUx6eS9QSzNvNXczRU0zblZlbUZNd0RHY2Q4anFxdUd3aFpZT21vVGh0SzFCUmZjcjF3Wk1xeg%3D%3D
重温经典,https://feiyang.wangdu.site/decrypt.php?url=VU00T2tWdFhueENpR2NqRDhEZzg4ZmRFRmVvNi94Znp0UlgveEVLOWliZ0xRdkxKU0RjSWtDTGdlVkR4OXZpcA%3D%3D
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
CHC动作电影,https://gdcucc.v1.mk/gdcucc/chcdzdy.m3u8

💾福建频道,#genre#
福建文体,http://192.168.6.1:1207/rtp/239.255.40.155:8208
福建新闻,http://192.168.6.1:1207/rtp/239.255.40.151:8208
福建经济,http://192.168.6.1:1207/rtp/239.255.40.154:8208
福建经济,http://satellitepull.cnr.cn/live/wx32fjdnjjgb/playlist.m3u8
福建综合,http://192.168.6.1:1207/rtp/239.255.40.202:8208
福建综合,http://192.168.6.1:1207/rtp/239.255.40.148:8208
福建公共,http://192.168.6.1:1207/rtp/239.255.40.150:8208
福建旅游,http://192.168.6.1:1207/rtp/239.255.40.153:8208
海峡卫视,http://192.168.6.1:1207/rtp/239.255.40.157:8208
海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/playlist.m3u8
厦门卫视,http://192.168.6.1:1207/rtp/239.255.40.28:8208
厦门卫视,https://live1b.kxm.xmtv.cn/xmtvbf/tvzb/live.m3u8
厦门一套,http://192.168.6.1:1207/rtp/239.255.40.171:8208
平潭卫视,http://192.168.6.1:1207/rtp/239.255.40.191:8208
泉州一套,http://192.168.6.1:1207/rtp/239.255.40.172:8208
龙岩综合,http://192.168.6.1:1207/rtp/239.255.40.160:8208

📼其他频道,#genre#
CETV1,http://192.168.6.1:1207/rtp/239.255.40.201:8208
CETV2,http://192.168.6.1:1207/rtp/239.255.40.30:8208
CETV4,http://192.168.6.1:1207/rtp/239.255.40.31:8208
睛彩青少,http://192.168.6.1:1207/rtp/239.255.40.207:8208
睛彩竞技,http://192.168.6.1:1207/rtp/239.255.40.208:8208
睛彩篮球,http://192.168.6.1:1207/rtp/239.255.40.209:8208
睛彩广场舞,http://192.168.6.1:1207/rtp/239.255.40.210:8208
福建教育,http://192.168.6.1:1207/rtp/239.255.40.106:8208
山东教育,http://192.168.6.1:1207/rtp/239.255.40.32:8208
山东教育,https://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
纪实科教,http://192.168.6.1:1207/rtp/239.255.40.205:8208
金鹰纪实,http://192.168.6.1:1207/rtp/239.255.40.57:8208
财富天下,http://192.168.6.1:1207/rtp/239.255.40.33:8208
CCTV3+,http://192.168.6.1:1207/rtp/239.255.40.68:8208
CCTV5+HD,http://192.168.6.1:1207/rtp/239.255.40.34:8208
CCTV5+HD,http://192.168.6.1:1207/rtp/239.255.40.71:8208
IPTV3+,http://192.168.6.1:1207/rtp/239.255.40.62:8208
IPTV法治,http://192.168.6.1:1207/rtp/239.255.40.61:8208
IPTV相声小品,http://192.168.6.1:1207/rtp/239.255.40.59:8208
中国天气,http://192.168.6.1:1207/rtp/239.255.40.89:8208
中国交通,http://192.168.6.1:1207/rtp/239.255.40.211:8208
IPTV魅力时尚,http://192.168.6.1:1207/rtp/239.255.40.67:8208
CGTN英语,http://192.168.6.1:1207/rtp/239.255.40.5:8208
CGTN俄语,http://192.168.6.1:1207/rtp/239.255.40.179:8208
CGTN俄语,https://feiyang.wangdu.site/decrypt.php?url=cEpmYVIxcTl4OUk5ZDVLYkUydjZrR2UzcGtlOC90cjN0SThPdmhrbDZOOD0%3D
CGTN法语,http://192.168.6.1:1207/rtp/239.255.40.178:8208
CGTN法语,https://feiyang.wangdu.site/decrypt.php?url=cEpmYVIxcTl4OUk5ZDVLYkUydjZrT25RWjNFZHROalU5UkUweisvOFd6dz0%3D
CGTN纪录,http://192.168.6.1:1207/rtp/239.255.40.183:8208
CGTN阿语,https://feiyang.wangdu.site/decrypt.php?url=cEpmYVIxcTl4OUk5ZDVLYkUydjZrSWo4WXU1QVJNbGYrZ0RnV2FFOWtUWT0%3D
CGTN西语,https://feiyang.wangdu.site/decrypt.php?url=cEpmYVIxcTl4OUk5ZDVLYkUydjZrSDg1eHhlbGx6NVNFdW1tMWpuY3orRT0%3D
凤凰中文,https://feiyang.wangdu.site/decrypt.php?url=eWxyNlNiS1JJdUx6eS9QSzNvNXczRU0zblZlbUZNd0RHY2Q4anFxdUd3Z1dabnFqMXhKcU5YMjF3UmxUdEptUg%3D%3D
凤凰资讯,https://feiyang.wangdu.site/decrypt.php?url=eWxyNlNiS1JJdUx6eS9QSzNvNXczRU0zblZlbUZNd0RHY2Q4anFxdUd3Zy9VZlY2Z1BUalg2b21JYTBSSE8xbQ%3D%3D
凤凰资讯,https://feiyang.wangdu.site/decrypt.php?url=UUpJQmovS0UxVE9nMXhwRFlUV0lZbVcxL2RUS2F6QWIxMkU0ZU5lRlVPKy80VXRlUFg2ZHFlamkvbXZzbGlCNQ%3D%3D
凤凰资讯,https://feiyang.wangdu.site/decrypt.php?url=VU00T2tWdFhueENpR2NqRDhEZzg4Ym9NZDJ3cHRSVTlROGJGNkI3RWM1cE5NWUZQdEtxKzN5RCt6V2JqUklQQQ%3D%3D
凤凰香港,https://feiyang.wangdu.site/decrypt.php?url=dzBKYVdyVzVkSCtFRy8zK01SRTB4L1V6cDhZYVRPVERYcFZMalhISUdBUC95WVV4WHBUa0J2VExRanU3Y2YvTg%3D%3D

🇨🇳 埋堆堆,#genre#

🇨🇳 斗鱼,#genre#
斗鱼贝爷影厅,http://www.douzhicloud.site:35455/douyu/252802
斗鱼贝爷影厅,http://b.zgjok.com:35455/douyu/252802
斗鱼漫威电影,http://b.zgjok.com:35455/douyu/6140589
斗鱼漫威电影,http://www.douzhicloud.site:35455/douyu/6140589
斗鱼科幻电影,http://www.douzhicloud.site:35455/douyu/9651304
斗鱼科幻电影,http://b.zgjok.com:35455/douyu/9651304
斗鱼喜剧电影,http://b.zgjok.com:35455/douyu/323876
斗鱼喜剧电影,http://www.douzhicloud.site:35455/douyu/323876
斗鱼蓝光影院,http://b.zgjok.com:35455/douyu/7882691
斗鱼蓝光影院,http://www.douzhicloud.site:35455/douyu/7882691
斗鱼漫威宇宙,http://www.douzhicloud.site:35455/douyu/11673725
斗鱼漫威宇宙,http://b.zgjok.com:35455/douyu/11673725
斗鱼魔幻大片,http://www.douzhicloud.site:35455/douyu/52787
斗鱼魔幻大片,http://b.zgjok.com:35455/douyu/52787
斗鱼华语喜剧,http://www.douzhicloud.site:35455/douyu/276200
斗鱼华语喜剧,http://b.zgjok.com:35455/douyu/276200
斗鱼香港电影,http://b.zgjok.com:35455/douyu/6079455
斗鱼香港电影,http://www.douzhicloud.site:35455/douyu/6079455
斗鱼经典电影,http://b.zgjok.com:35455/douyu/96577
斗鱼经典电影,http://www.douzhicloud.site:35455/douyu/96577
斗鱼专辑影院,http://b.zgjok.com:35455/douyu/3811092
斗鱼专辑影院,http://www.douzhicloud.site:35455/douyu/3811092
斗鱼周末影院,http://www.douzhicloud.site:35455/douyu/315457
斗鱼周末影院,http://b.zgjok.com:35455/douyu/315457

虎牙,#genre#
电影_星爷,http://www.douzhicloud.site:35455/huya/11342412
电影_沈腾,http://www.douzhicloud.site:35455/huya/11601968

💥 虎牙,#genre#
电影_战争,http://www.douzhicloud.site:35455/huya/21059592
电影_贺岁,http://www.douzhicloud.site:35455/huya/11601971

💥 Y//Y,#genre#
寻秦记,http://www.douzhicloud.site:35455/huya/29465848
倚天屠龙记,http://www.douzhicloud.site:35455/huya/23734246
